node,deg_in,deg_out,deg_total,pagerank,betweenness
K00789,87,81,168,0.00847430824544445,0.07267984542404865
K16951,82,83,165,0.009515020528374676,0.02281156106439232
K16950,82,83,165,0.009515020528374673,0.02281156106439232
K00384,83,77,160,0.011631060006743854,0.006321136351503991
K03527,83,74,157,0.009284520064539031,0.04236752203500698
K11533,59,94,153,0.019440474696940536,0.002296644120833624
K00370,60,77,137,0.008726482565873975,0.0008125875645786314
K00371,60,77,137,0.008726482565873975,0.0008125875645786314
K00374,60,77,137,0.008726482565873975,0.0008125875645786314
K00763,35,92,127,0.010764586173893621,0.058353775131715815
K01426,67,53,120,0.020986679351932033,0.0027075842004185297
K00262,67,52,119,0.00713807357178686,0.028579847934160272
K01739,83,35,118,0.012509102629859433,0.0395388649120476
K00600,62,48,110,0.004703566438928511,0.011830676756836333
K05350,64,45,109,0.05595235283065205,0.018681669065980115
K05349,64,45,109,0.05595235283065204,0.018681669065980115
K25072,61,47,108,0.005217254930496811,0.009947770344396829
K04038,32,72,104,0.008150566708089165,0.03507041058894509
K00426,32,72,104,0.004026419871064395,0.0041995934388194415
K00425,32,72,104,0.004026419871064395,0.0041995934388194415
K00605,16,86,102,0.002303975327824743,0.011878730599224107
K12373,59,43,102,0.03309132348702167,0.0
K00169,50,47,97,0.007369237734431289,0.010978227486864323
K00170,50,47,97,0.007369237734431288,0.010978227486864323
K22270,34,58,92,0.00519664608426051,0.006585265440407703
K01950,66,26,92,0.005248788202045194,0.023623777138608564
K00382,36,53,89,0.014519564574287307,0.005461525166841373
K07566,39,49,88,0.004499111685374748,0.011321538885135677
K00052,42,46,88,0.007263122551588823,0.004009713194424197
K01007,69,18,87,0.006114320259449759,0.009579646013644036
K05895,41,45,86,0.005733572124329492,0.006856563344626373
K02609,34,51,85,0.00509158858223239,0.0026424121241717525
K00481,34,51,85,0.00509158858223239,0.0026424121241717525
K08351,34,51,85,0.005074478464070932,0.0035500338019446927
K22769,34,51,85,0.00509158858223239,0.0026424121241717525
K18277,34,51,85,0.00509158858223239,0.0026424121241717525
K02612,34,51,85,0.00509158858223239,0.0026424121241717525
K02610,34,51,85,0.00509158858223239,0.0026424121241717525
K02371,38,45,83,0.008881426068866827,0.0028370413085572195
K23976,34,48,82,0.004395767534176266,0.004361709300675878
K21480,34,48,82,0.004323501916878869,0.0029812793611957208
K15981,34,47,81,0.004323501916878869,0.0029736186392492845
K06920,17,63,80,0.005027258536778687,0.01405526200837579
K03426,75,4,79,0.013359570619424013,0.0008573657009642678
K13497,26,52,78,0.006843787149541634,0.009456534987318495
K14652,62,16,78,0.004762460554978648,0.010221655332947074
K00627,32,46,78,0.0038739785852976503,0.012328757815030263
K03594,34,44,78,0.00408970464761577,0.002835180393950137
K03781,1,76,77,0.004871040093728596,0.020141825779921626
K04561,33,44,77,0.00419037991483219,0.0033356218495471167
K14266,33,44,77,0.0040529522790003865,0.002819858950057265
K04748,33,44,77,0.00419037991483219,0.0033356218495471167
K01095,60,16,76,0.004546099597686708,0.005116111273971433
K01096,60,16,76,0.004546099597686708,0.005116111273971433
K06153,60,16,76,0.004546099597686708,0.005116111273971433
K19270,60,16,76,0.004546099597686708,0.005116111273971433
K19302,60,16,76,0.004546099597686708,0.005116111273971433
K03737,52,23,75,0.00733920004176795,0.012672957360743264
K01486,64,11,75,0.01405031202858649,0.01438639436323072
K06966,72,2,74,0.021010991994290077,0.00012077313577468859
K01616,27,47,74,0.005332910072300989,0.004158600715297115
K01241,71,2,73,0.010192836123599815,0.005827849080945871
K02564,61,12,73,0.004803477355872885,0.010990547275707684
K01487,62,11,73,0.006146323448621438,0.006258838204987464
K00764,23,49,72,0.005098738065201319,0.01191084955826265
K24954,61,11,72,0.004764395434753178,0.016950167733780944
K01424,60,11,71,0.004546099597686708,0.006258838204987464
K01749,60,11,71,0.004546099597686708,0.006258838204987464
K01595,15,52,67,0.0024830356512573802,0.009215669687320774
K00926,17,50,67,0.005490528061314505,0.002710810391052673
K01193,61,4,65,0.03749820222462681,0.00676824783967641
K01647,12,53,65,0.002011161576271246,0.0062463076907683926
K08968,63,2,65,0.005033790255887007,0.0002520371210129722
K05526,60,5,65,0.004546099597686708,0.004046692589758742
K01194,61,3,64,0.00647826393985302,0.019599837694830365
K01657,12,52,64,0.004730974294968441,0.003143831511344846
K13503,12,52,64,0.004730974294968441,0.003143831511344846
K01658,12,52,64,0.004730974294968441,0.003143831511344846
K01638,12,52,64,0.002011161576271246,0.006215754440477345
K01649,12,52,64,0.002011161576271246,0.005858821572923311
K01251,60,3,63,0.004546099597686708,0.01444350443193796
K01641,12,51,63,0.002011161576271246,0.005261606155870402
K01236,60,2,62,0.004546099597686708,0.006756756756756757
K01439,60,2,62,0.004546099597686708,0.002273337143724658
K01184,60,1,61,0.008085487785977442,0.0
K15524,60,1,61,0.004546099597686708,0.002201668999219369
K00164,24,37,61,0.004372949158996973,0.0029346542299005423
K02170,60,1,61,0.004546099597686708,0.020187790111600244
K01771,60,1,61,0.004546099597686708,0.002201668999219369
K00133,25,35,60,0.003079666792571982,0.006550727057693696
K00145,25,35,60,0.003079666792571982,0.006550727057693696
K00147,25,35,60,0.003079666792571982,0.006550727057693696
K00134,24,35,59,0.0029854736625025994,0.009078522136829002
K04021,21,38,59,0.002529728619069865,0.005767337766846677
K01627,14,44,58,0.002466906619703981,0.00645963307886186
K20934,13,44,57,0.004718526766236129,0.0026025066604024832
K00176,38,18,56,0.00563536331211836,0.005290112225325928
K26110,21,35,56,0.005176749185110869,0.011584693950536856
K00177,38,18,56,0.00563536331211836,0.005290112225325928
K01714,9,44,53,0.002111662546623208,0.0016722181383574488
K24042,13,40,53,0.0032174271839200404,0.0061777910559191445
K01915,27,26,53,0.0070064723380108395,0.016552846202497903
K03650,7,46,53,0.0017074500901396407,0.001162872897357804
K10206,6,47,53,0.003505818643270092,0.008924436079157484
K00528,42,11,53,0.004648602333706931,0.005112510260177456
K03495,7,46,53,0.0017074500901396407,0.001162872897357804
K03783,15,36,51,0.01835696828422826,0.0019476425202937533
K03784,15,36,51,0.01835696828422826,0.0019476425202937533
K03184,6,44,50,0.0015900067032360626,0.0011963599765635866
K10747,25,23,48,0.007001592432433007,0.013154486279691187
K03465,34,14,48,0.005175788165666756,0.0030259593538269607
K16329,3,44,47,0.019735938249367393,0.005714490401167997
K18981,11,35,46,0.00839823112287326,0.008653489629007792
K02826,1,45,46,0.0010238215275574316,0.0007727055688894959
K00432,1,44,45,0.0010238215275574316,0.0007727055688894959
K01555,0,44,44,0.0010067114093959733,0.0
K00940,15,27,42,0.011757203473831648,0.005039201471128781
K01916,18,23,41,0.005099692333875783,0.011201253958677635
K00852,15,25,40,0.0061744535156872515,0.005184920591566289
K00765,14,23,37,0.003119524263969167,0.0036237377298198514
K01006,29,8,37,0.004035127281467033,0.003823200295873464
K02502,14,23,37,0.003119524263969167,0.0036237377298198514
K06211,9,27,36,0.005028306821398035,0.0010097792227323744
K03186,12,23,35,0.0020878547145240876,0.0032702545392391084
K00322,17,15,32,0.002563914755426595,0.0019759002713383173
K19710,16,16,32,0.006856303957314549,0.003016173234230872
K04042,9,19,28,0.0014226672193519787,0.00278389069713734
K00634,14,13,27,0.002466906619703981,0.010917842255314255
K00645,11,14,25,0.0016451794265075934,0.0015815057836228458
K21147,12,13,25,0.002036166109610423,0.004935720312639118
K00832,14,9,23,0.0037472160233966985,0.0007580532637682169
K05825,7,14,21,0.002243305985016073,0.0002634830654876873
K00702,16,4,20,0.0034681532296937196,0.01442024314576785
K12437,1,19,20,0.0029388757515622843,0.005472173777137638
K05939,9,10,19,0.0016546430722857025,0.002293576158716204
K16212,14,3,17,0.002466906619703981,0.0024902451188310356
K00691,14,3,17,0.002466906619703981,0.0024902451188310356
K01910,8,8,16,0.002019989537282454,0.00042605012434328814
K01918,7,8,15,0.001469980933931792,0.00042605012434328814
K01872,7,8,15,0.001469980933931792,0.00042605012434328814
K07029,8,6,14,0.005334309618264413,0.007995601196408315
K00865,8,6,14,0.005334309618264413,0.007995601196408313
K00853,7,7,14,0.0019332504584676107,0.0
K09903,7,6,13,0.001469980933931792,0.0005011598363533341
K00963,2,7,9,0.0018336416863874326,0.007658411559155058
K00697,2,6,8,0.009196309071348413,0.0021027885032410864
K00820,3,5,8,0.0015139557090433173,9.074076790535889e-05
K00692,7,1,8,0.017950279262790435,0.006814212171355028
K01823,1,1,2,0.0010630857591152512,0.0
