id,EC,type
K25996,,enzyme
K00876,2.7.1.48,enzyme
K00626,2.3.1.9,enzyme
K25619,,enzyme
K16619,3.1.4.3,enzyme
K00525,1.17.4.1,enzyme
K02851,2.7.8.33;2.7.8.35,enzyme
K01007,2.7.9.2,enzyme
K01770,4.6.1.12,enzyme
K00812,2.6.1.1,enzyme
K03336,3.7.1.22,enzyme
K00147,1.2.1.41,enzyme
K05989,3.2.1.40,enzyme
K01744,4.3.1.1,enzyme
K12524,1.1.1.3;2.7.2.4,enzyme
K03856,2.5.1.54,enzyme
K06016,3.5.1.6;3.5.1.87,enzyme
K01711,4.2.1.47,enzyme
K10026,4.3.99.3,enzyme
K01903,6.2.1.5,enzyme
K12661,4.2.1.90,enzyme
K01810,5.3.1.9,enzyme
K00929,2.7.2.7,enzyme
K01893,6.1.1.22,enzyme
K01870,6.1.1.5,enzyme
K00850,2.7.1.11,enzyme
K05349,3.2.1.21,enzyme
K00245,1.3.5.1,enzyme
K00244,1.3.5.1,enzyme
K00018,1.1.1.29,enzyme
K01886,6.1.1.18,enzyme
K11717,2.8.1.7;4.4.1.16,enzyme
K00853,2.7.1.16,enzyme
K00336,7.1.1.2,enzyme
K01857,5.5.1.2,enzyme
K13929,2.3.1.187,enzyme
K01939,6.3.4.4,enzyme
K01918,6.3.2.1,enzyme
K00928,2.7.2.4,enzyme
K01493,3.5.4.12,enzyme
K02564,3.5.99.6,enzyme
K00603,2.1.2.5;6.3.3.2,enzyme
K03388,1.8.7.3;1.8.98.4;1.8.98.5;1.8.98.6,enzyme
K00615,2.2.1.1,enzyme
K09472,1.2.1.99,enzyme
K03495,,enzyme
K00479,1.14.13.251,enzyme
K01928,6.3.2.13,enzyme
K01649,2.3.3.13,enzyme
K03621,2.3.1.274,enzyme
K01179,3.2.1.4,enzyme
K01869,6.1.1.4,enzyme
K01193,3.2.1.26,enzyme
K00239,1.3.5.1,enzyme
K00942,2.7.4.8,enzyme
K02528,2.1.1.182,enzyme
K11752,1.1.1.193;3.5.4.26,enzyme
K01218,3.2.1.78,enzyme
K01783,5.1.3.1,enzyme
K09022,3.5.99.10,enzyme
K02523,2.5.1.90,enzyme
K00854,2.7.1.17,enzyme
K20169,1.4.2.2,enzyme
K00370,1.7.5.1,enzyme
K01611,4.1.1.50,enzyme
K01785,5.1.3.3,enzyme
K01867,6.1.1.2,enzyme
K01182,3.2.1.10,enzyme
K13941,2.5.1.15;2.7.6.3,enzyme
K01448,3.5.1.28,enzyme
K06445,,enzyme
K00688,2.4.1.1,enzyme
K01872,6.1.1.7,enzyme
K00648,2.3.1.180,enzyme
K00951,2.7.6.5,enzyme
K01434,3.5.1.11,enzyme
K04042,2.3.1.157;2.7.7.23,enzyme
K01585,4.1.1.19,enzyme
K01961,6.3.4.14;6.4.1.2,enzyme
K00817,2.6.1.9,enzyme
K04041,3.1.3.11,enzyme
K01874,6.1.1.10,enzyme
K01972,6.5.1.2,enzyme
K02188,2.1.1.195,enzyme
K02770,2.7.1.202,enzyme
K00820,2.6.1.16,enzyme
K02810,2.7.1.211,enzyme
K00602,2.1.2.3;3.5.4.10,enzyme
K15461,2.1.1.61,enzyme
K01091,3.1.3.18,enzyme
K03735,4.3.1.7,enzyme
K01895,6.2.1.1,enzyme
K00773,2.4.2.29,enzyme
K01130,3.1.6.1,enzyme
K01925,6.3.2.9,enzyme
K00673,2.3.1.109,enzyme
K01929,6.3.2.10,enzyme
K01881,6.1.1.15,enzyme
K01139,2.7.6.5;3.1.7.2,enzyme
K01187,3.2.1.20,enzyme
K01270,,enzyme
K00971,2.7.7.13,enzyme
K02433,6.3.5.6;6.3.5.7,enzyme
K03737,1.2.7.1,enzyme
K01006,2.7.9.1,enzyme
K00059,1.1.1.100,enzyme
K01710,4.2.1.46,enzyme
K00096,1.1.1.261,enzyme
K00658,2.3.1.61,enzyme
K15633,5.4.2.12,enzyme
K06970,2.1.1.181,enzyme
K03151,2.8.1.4,enzyme
K09835,5.2.1.13,enzyme
K01866,6.1.1.1,enzyme
K09883,6.6.1.2,enzyme
K01756,4.3.2.2,enzyme
K03650,,enzyme
K18581,3.2.1.180,enzyme
K00655,2.3.1.51,enzyme
K17722,1.3.1.1,enzyme
K20611,1.3.99.37,enzyme
K00764,2.4.2.14,enzyme
K06131,,enzyme
K03150,4.1.99.19,enzyme
K19222,3.1.2.28,enzyme
K01637,4.1.3.1;4.1.3.30,enzyme
K01208,3.2.1.133;3.2.1.135;3.2.1.54,enzyme
K03394,2.1.1.130;2.1.1.151,enzyme
K21636,1.1.98.6,enzyme
K00325,7.1.1.1,enzyme
K05343,3.2.1.1;5.4.99.16,enzyme
K00943,2.7.4.9,enzyme
K00163,1.2.4.1,enzyme
K04487,2.8.1.7,enzyme
K01519,3.6.1.66,enzyme
K01875,6.1.1.11,enzyme
K00262,1.4.1.4,enzyme
K00036,1.1.1.363;1.1.1.49,enzyme
K22474,1.1.5.5,enzyme
K00705,2.4.1.25,enzyme
K00362,1.7.1.15,enzyme
K07568,2.4.99.17,enzyme
K01662,2.2.1.7,enzyme
K02438,3.2.1.196,enzyme
K01643,2.8.3.10,enzyme
K00595,2.1.1.132;2.1.1.196;2.1.1.289,enzyme
K01840,5.4.2.8,enzyme
K06281,1.12.99.6,enzyme
K01955,6.3.5.5,enzyme
K19244,1.4.1.1,enzyme
K01787,5.1.3.8,enzyme
K07811,1.7.2.3,enzyme
K01951,6.3.5.2,enzyme
K20807,4.2.1.84,enzyme
K26139,1.7.1.4,enzyme
K00134,1.2.1.12,enzyme
K21029,2.7.7.80,enzyme
K02536,2.3.1.191,enzyme
K00868,2.7.1.35,enzyme
K01890,6.1.1.20,enzyme
K01126,3.1.4.46,enzyme
K09251,2.6.1.82,enzyme
K22316,3.1.26.4;3.1.3.73,enzyme
K18369,,enzyme
K00813,2.6.1.1,enzyme
K02190,4.99.1.3,enzyme
K00641,2.3.1.31;2.3.1.46,enzyme
K00099,1.1.1.267,enzyme
K09458,2.3.1.179,enzyme
K00266,1.4.1.13,enzyme
K00796,2.5.1.15,enzyme
K00880,2.7.1.53,enzyme
K01915,6.3.1.2,enzyme
K01667,4.1.99.1,enzyme
K24998,1.3.8.17;6.3.2.31;6.3.2.34,enzyme
K04093,5.4.99.5,enzyme
K01759,4.4.1.5,enzyme
K01616,1.2.4.2;2.2.1.5;2.3.1.61;4.1.1.71,enzyme
K02501,4.3.2.10,enzyme
K01089,3.1.3.15;4.2.1.19,enzyme
K00382,1.8.1.4,enzyme
K00162,1.2.4.1,enzyme
K16149,2.4.1.18,enzyme
K03526,1.17.7.1;1.17.7.3,enzyme
K02434,6.3.5.6;6.3.5.7,enzyme
K02825,2.4.2.9,enzyme
K01876,6.1.1.12,enzyme
K13574,1.1.1.237,enzyme
K15737,1.14.11.64,enzyme
K01686,4.2.1.8,enzyme
K01728,4.2.2.2,enzyme
K03404,6.6.1.1,enzyme
K00031,1.1.1.42,enzyme
K00138,,enzyme
K01226,3.2.1.93,enzyme
K01439,3.5.1.18,enzyme
K00297,1.5.1.54,enzyme
K00335,7.1.1.2,enzyme
K01912,6.2.1.30,enzyme
K00620,2.3.1.1;2.3.1.35,enzyme
K00859,2.7.1.24,enzyme
K15635,5.4.2.12,enzyme
K06151,1.1.99.3,enzyme
K00278,1.4.3.16,enzyme
K03517,2.5.1.72,enzyme
K00259,1.4.1.1,enzyme
K01740,2.5.1.49,enzyme
K18707,2.8.4.5,enzyme
K01256,3.4.11.2,enzyme
K02377,1.1.1.271,enzyme
K01883,6.1.1.16,enzyme
K01026,2.8.3.1,enzyme
K01804,5.3.1.4,enzyme
K00265,1.4.1.13,enzyme
K00240,1.3.5.1,enzyme
K18122,,enzyme
K13953,1.1.1.1,enzyme
K20866,3.1.3.10,enzyme
K06013,3.4.24.84,enzyme
K00700,2.4.1.18,enzyme
K01940,6.3.4.5,enzyme
K02791,2.7.1.199;2.7.1.208,enzyme
K03787,3.1.3.5;3.1.3.6,enzyme
K00800,2.5.1.19,enzyme
K24018,1.3.1.12;1.3.1.43;2.5.1.19,enzyme
K17468,4.3.1.29,enzyme
K00790,2.5.1.7,enzyme
K00703,2.4.1.21,enzyme
K05939,2.3.1.40;6.2.1.20,enzyme
K18109,4.2.3.90,enzyme
K00548,2.1.1.13,enzyme
K09023,,enzyme
K00012,1.1.1.22,enzyme
K01176,3.2.1.1,enzyme
K00604,2.1.2.9,enzyme
K03340,1.4.1.16,enzyme
K00845,2.7.1.2,enzyme
K00343,7.1.1.2,enzyme
K00761,2.4.2.9,enzyme
K00126,1.17.1.9,enzyme
K13378,7.1.1.2,enzyme
K03475,,enzyme
K13038,4.1.1.36;6.3.2.5,enzyme
K01784,5.1.3.2,enzyme
K00927,2.7.2.3,enzyme
K01958,6.4.1.1,enzyme
K00767,2.4.2.19,enzyme
K00639,2.3.1.29,enzyme
K10536,3.5.3.12,enzyme
K03337,5.3.1.30,enzyme
K00287,1.5.1.3,enzyme
K02230,6.6.1.2,enzyme
K00823,2.6.1.19,enzyme
K00831,2.6.1.52,enzyme
K01692,4.2.1.17,enzyme
K01620,4.1.2.48,enzyme
K00164,1.2.4.2,enzyme
K03527,1.17.7.4,enzyme
K04567,6.1.1.6,enzyme
K00252,1.3.8.6,enzyme
K02591,1.18.6.1,enzyme
K01652,2.2.1.6,enzyme
K02548,2.5.1.74,enzyme
K01190,3.2.1.23,enzyme
K08289,6.3.1.21,enzyme
K25026,2.7.1.2,enzyme
K01259,3.4.11.5,enzyme
K12554,,enzyme
K13010,2.6.1.102,enzyme
K01081,3.1.3.5,enzyme
K01657,4.1.3.27,enzyme
K06949,3.1.3.100,enzyme
K01687,4.2.1.9,enzyme
K02819,2.7.1.201,enzyme
K00027,1.1.1.38,enzyme
K16950,,enzyme
K07308,,enzyme
K22927,3.1.4.59,enzyme
K01924,6.3.2.8,enzyme
K01467,3.5.2.6,enzyme
K00282,1.4.4.2,enzyme
K03781,1.11.1.6,enzyme
K01468,3.5.2.7,enzyme
K12528,,enzyme
K00001,1.1.1.1,enzyme
K01607,4.1.1.44,enzyme
K01868,6.1.1.3,enzyme
K01854,5.4.99.9,enzyme
K01835,5.4.2.2,enzyme
K00040,1.1.1.57,enzyme
K22820,,enzyme
K12373,3.2.1.52,enzyme
K04516,5.4.99.5,enzyme
K01201,3.2.1.45,enzyme
K01630,4.1.2.20,enzyme
K02551,2.2.1.9,enzyme
K01699,4.2.1.28,enzyme
K00973,2.7.7.24,enzyme
K03078,4.1.1.85,enzyme
K13542,2.1.1.107;4.2.1.75,enzyme
K01619,4.1.2.4,enzyme
K00074,1.1.1.157,enzyme
K03779,4.2.1.32,enzyme
K00294,1.2.1.88,enzyme
K00647,2.3.1.41,enzyme
K00337,7.1.1.2,enzyme
K01805,5.3.1.5,enzyme
K25657,2.7.1.32,enzyme
K01887,6.1.1.19,enzyme
K24300,4.2.1.135,enzyme
K19005,2.7.8.20,enzyme
K01428,3.5.1.5,enzyme
K01758,4.4.1.1,enzyme
K03594,1.16.3.1,enzyme
K05851,4.6.1.1,enzyme
K14155,4.4.1.13,enzyme
K00432,1.11.1.9,enzyme
K00652,2.3.1.47,enzyme
K00116,1.1.5.4,enzyme
K21936,2.1.1.342,enzyme
K00684,2.3.2.6,enzyme
K00450,1.13.11.4,enzyme
K27502,1.5.1.55,enzyme
K19668,3.2.1.91,enzyme
K00052,1.1.1.85,enzyme
K11211,2.7.1.166,enzyme
K05928,2.1.1.95,enzyme
K10855,6.4.1.6,enzyme
K13014,,enzyme
K01582,4.1.1.18,enzyme
K00925,2.7.2.1,enzyme
K01200,3.2.1.41,enzyme
K01897,6.2.1.3,enzyme
K04765,3.6.1.9,enzyme
K02495,1.3.98.3,enzyme
K05825,,enzyme
K18118,2.8.3.18,enzyme
K01195,3.2.1.31,enzyme
K00763,6.3.4.21,enzyme
K00339,7.1.1.2,enzyme
K00033,1.1.1.343;1.1.1.44,enzyme
K01695,4.2.1.20,enzyme
K01207,3.2.1.52,enzyme
K07246,1.1.1.83;1.1.1.93;4.1.1.73,enzyme
K01438,3.5.1.16,enzyme
K15372,2.6.1.55,enzyme
K00174,1.2.7.11;1.2.7.3,enzyme
K00425,7.1.1.7,enzyme
K00793,2.5.1.9,enzyme
K00075,1.3.1.98,enzyme
K00645,2.3.1.39,enzyme
K00281,1.4.4.2,enzyme
K01113,3.1.3.1,enzyme
K00609,2.1.3.2,enzyme
K20035,1.3.99.41,enzyme
K00558,2.1.1.37,enzyme
K00992,2.7.7.99,enzyme
K00334,7.1.1.2,enzyme
K01889,6.1.1.20,enzyme
K25314,2.7.1.52;2.7.7.30,enzyme
K05878,2.7.1.121,enzyme
K01953,6.3.5.4,enzyme
K13745,4.1.1.86,enzyme
K14583,1.13.11.56,enzyme
K00383,1.8.1.7,enzyme
K01586,4.1.1.20,enzyme
K04091,1.14.14.34;1.14.14.5,enzyme
K22186,4.2.1.82,enzyme
K01847,5.4.99.2,enzyme
K02361,5.4.4.2,enzyme
K16165,3.7.1.20,enzyme
K00721,2.4.1.83,enzyme
K00627,2.3.1.12,enzyme
K00355,1.6.5.2,enzyme
K01698,4.2.1.24,enzyme
K03786,4.2.1.10,enzyme
K00657,2.3.1.57,enzyme
K10680,,enzyme
K03800,6.3.1.20,enzyme
K01460,3.5.1.78;6.3.1.8,enzyme
K01000,2.7.8.13,enzyme
K00762,2.4.2.10,enzyme
K00865,2.7.1.165,enzyme
K01524,3.6.1.11;3.6.1.40,enzyme
K14682,2.3.1.1,enzyme
K01595,4.1.1.31,enzyme
K00631,2.3.1.15,enzyme
K01923,6.3.2.6,enzyme
K03183,2.1.1.163;2.1.1.201,enzyme
K00632,2.3.1.16,enzyme
K01676,4.2.1.2,enzyme
K00963,2.7.7.9,enzyme
K10854,6.4.1.6,enzyme
K01755,4.3.2.1,enzyme
K18120,1.1.1.61,enzyme
K00798,2.5.1.17,enzyme
K00215,1.17.1.8,enzyme
K02804,2.7.1.193,enzyme
K01443,3.5.1.25,enzyme
K00958,2.7.7.4,enzyme
K04069,1.97.1.4,enzyme
K01873,6.1.1.9,enzyme
K27802,4.2.1.3;4.2.1.99,enzyme
K00322,1.6.1.1,enzyme
K00053,1.1.1.86,enzyme
K00991,2.7.7.60,enzyme
K03403,6.6.1.1,enzyme
K12960,3.5.4.28;3.5.4.31,enzyme
K01813,5.3.1.14,enzyme
K01581,4.1.1.17,enzyme
K18336,3.7.1.26,enzyme
K01425,3.5.1.2,enzyme
K00848,2.7.1.5,enzyme
K01966,2.1.3.15;6.4.1.3,enzyme
K26110,1.7.1.7,enzyme
K00392,1.8.7.1,enzyme
K00135,1.2.1.16;1.2.1.20;1.2.1.79,enzyme
K00088,1.1.1.205,enzyme
K00117,1.1.5.2,enzyme
K09882,6.6.1.2,enzyme
K04561,1.7.2.5,enzyme
K01809,5.3.1.8,enzyme
K00856,2.7.1.20,enzyme
K01236,3.2.1.141,enzyme
K16242,1.14.13.243;1.14.13.244,enzyme
K01739,2.5.1.48,enzyme
K07271,,enzyme
K01119,3.1.3.6;3.1.4.16,enzyme
K01198,3.2.1.37,enzyme
